KEY,PL,EN
GRASS_CARP,Amur,Grass carp
BARRACUDA,Barakuda,Barracuda
BASS,Bass,Bass
GARFISH,Belona,Garfish
ASP,Boleń,Asp
BARBEL,Brzana,Barbel
ZERTE,Certa,Zerte
MOALFISH,Czarniak,Moalfish
COD,Dorsz,Cod
DANUBE,Głowacica,Danube
IDE,Jaź,Ide
DACE,Jelec,Dace
STURGEON,Jesiotr,Sturgeon
CRUCIAN_CARP,Karaś pospolity,Crucian carp
PRUSSIAN_CARP,Karaś srebrzysty,Prussian carp
CARP,Karp,Carp
GUDGEON,Kiełb,Gudgeon
CHUB,Kleń,Chub
SILVER_BREAM,Krąp,Silver bream
BREAM,Leszcz,Bream
TENCH,Lin,Tench
GRAYLING,Lipień,Grayling
SALMON,Łosoś,Salmon
MACKEREL,Makrela,Mackerel
MERLIN,Merlin,Merlin
SWORDFISH,Miecznik,Swordfish
BURBOT,Miętus,Burbot
PERCH,Okoń,Perch
RAY,Płaszczka,Ray
ROACH,Płoć,Roach
BROWN_TROUT,Pstrąg potokowy,Brown trout
RAINBOW_TROUT,Pstrąg tęczowy,Rainbow trout
BROOK_TROUT,Pstrąg źródlany,Brook trout
SHARK,Rekin,Shark
BALLERUS_BALLERUS,Rozpiór,Ballerus ballerus
ZANDER,Sandacz,Zander
WHITEFISH,Sieja,Whitefish
CATFISH,Sum,Catfish
PIKE,Szczupak,Pike
SPRAT,Szprot,Sprat
HERRING,Śledź,Herring
TAIMEN,Tajmen,Taimen
SILVER_CARP,Tołpyga,Silver carp
LAKE_TROUT,Troć jeziorowa,Lake trout
SEA_TROUT,Troć wędrowna,Sea Trout
TUNA,Tuńczyk,Tuna
ABLET,Ukleja,Ablet
EEL,Węgorz,Eel
RUD,Wzdręga,Rud
